Customer_ID,Age,Age_Group,Gender,Subscription_Length,Payment_Method,Support_Tickets_Raised,Satisfaction_Score,Discount_Offered,Last_Activity,Monthly_Spend,Churned
CUST000034,45.0,45-54,Laki-laki,55,Credit Card,3,3.0,136133.56,318,735929.92,True
CUST000035,33.0,25-34,Perempuan,43,PayPal,0,9.0,238402.21,149,1008534.0,False
CUST000036,32.0,25-34,Perempuan,21,Debit Card,0,9.0,254576.49,38,948048.92,False
CUST000037,,,Laki-laki,2,PayPal,1,2.0,101931.69,118,470739.06,True
CUST000038,68.0,65-74,Laki-laki,54,Credit Card,4,6.0,292653.45,315,947880.44,True
CUST000039,61.0,55-64,Laki-laki,27,PayPal,3,3.0,301919.97,97,719755.64,True
CUST000040,69.0,65-74,Laki-laki,38,PayPal,0,5.0,100246.86,17,800795.54,False
CUST000041,,,Perempuan,26,Credit Card,0,,236717.39,325,686733.14,True
CUST000042,54.0,45-54,Perempuan,58,Credit Card,0,4.0,234358.64,279,894134.64,False
CUST000043,68.0,65-74,Perempuan,59,Debit Card,2,3.0,87442.22,359,792202.95,True
CUST000044,24.0,15-24,Laki-laki,38,Debit Card,4,2.0,170840.88,154,639221.18,True
CUST000045,38.0,35-44,Perempuan,46,Debit Card,2,6.0,329045.59,94,940130.26,False
CUST000046,26.0,25-34,Laki-laki,25,Credit Card,3,3.0,224586.67,175,652868.24,True
CUST000047,56.0,55-64,Laki-laki,11,PayPal,0,4.0,320116.04,302,730875.46,True
CUST000048,35.0,35-44,Laki-laki,8,PayPal,3,6.0,254913.46,29,721777.42,False
CUST000049,21.0,15-24,Laki-laki,8,Debit Card,5,5.0,91485.79,34,530044.77,True
CUST000050,42.0,35-44,Laki-laki,33,Debit Card,2,,103953.47,10,671232.79,False
CUST000051,31.0,25-34,Perempuan,53,Credit Card,4,4.0,266707.2,276,817643.75,False
CUST000052,67.0,65-74,Perempuan,7,PayPal,2,2.0,224418.19,290,543523.34,True
CUST000053,26.0,25-34,Laki-laki,38,Debit Card,3,10.0,116421.15,101,915531.87,False
CUST000054,43.0,35-44,Perempuan,21,Credit Card,1,,239413.1,141,660618.41,False
CUST000055,19.0,15-24,Laki-laki,8,Debit Card,1,8.0,288946.84,87,853698.93,False
CUST000056,,,Laki-laki,51,Credit Card,1,5.0,274457.38,301,926988.65,True
CUST000057,45.0,45-54,Laki-laki,54,PayPal,5,10.0,146410.97,128,1003479.54,True
CUST000058,64.0,55-64,Perempuan,21,Credit Card,2,10.0,149443.65,206,876612.5,False
CUST000059,24.0,15-24,Laki-laki,56,Debit Card,3,8.0,328877.11,89,1031953.02,False
CUST000060,61.0,55-64,Laki-laki,20,Debit Card,0,6.0,308490.77,82,834323.48,False
CUST000061,25.0,25-34,Perempuan,8,PayPal,1,,164775.52,212,866840.53,False
CUST000062,64.0,55-64,Perempuan,58,PayPal,3,5.0,292484.97,119,916374.28,False
CUST000063,52.0,45-54,Perempuan,46,Debit Card,2,4.0,125182.22,348,775354.74,True
CUST000064,31.0,25-34,Laki-laki,31,Debit Card,1,,133943.29,136,945521.69,False
CUST000065,34.0,25-34,Laki-laki,50,Debit Card,1,9.0,130068.2,261,1004827.4,False
CUST000066,,,Perempuan,57,PayPal,1,10.0,106480.7,276,1091090.24,False
CUST000067,67.0,65-74,Laki-laki,29,Debit Card,1,5.0,300235.15,208,817643.75,False
CUST000068,,,Perempuan,48,PayPal,1,10.0,230483.55,314,1090247.83,True
CUST000069,21.0,15-24,Perempuan,9,Debit Card,2,6.0,149612.13,243,658765.11,False
CUST000070,,,Laki-laki,15,Credit Card,2,7.0,298718.81,345,802648.84,True
CUST000071,23.0,15-24,Laki-laki,30,Credit Card,0,1.0,287093.54,100,680162.34,True
CUST000072,59.0,55-64,Perempuan,26,Debit Card,1,9.0,109681.86,115,890259.55,False
CUST000073,21.0,15-24,Perempuan,10,Credit Card,1,8.0,246994.8,330,831627.77,True
CUST000074,46.0,45-54,Perempuan,29,PayPal,4,5.0,266707.2,16,736266.89,False
CUST000075,35.0,35-44,Perempuan,54,Credit Card,1,3.0,265190.87,4,845274.82,True
CUST000076,,,Laki-laki,16,Credit Card,1,5.0,267044.17,266,768615.46,False
CUST000077,61.0,55-64,Perempuan,36,PayPal,0,5.0,127035.52,48,769120.9,False
CUST000078,51.0,45-54,Perempuan,20,Credit Card,0,,163933.11,223,930863.74,False
CUST000079,27.0,25-34,Perempuan,45,Credit Card,1,7.0,297539.43,204,989495.52,False
CUST000080,,,Laki-laki,54,Debit Card,4,2.0,311354.97,20,765919.74,True
CUST000081,31.0,25-34,Laki-laki,37,PayPal,1,,154835.07,288,807871.79,False
CUST000082,48.0,45-54,Perempuan,22,PayPal,1,9.0,90137.94,194,817306.79,False
CUST000083,65.0,65-74,Laki-laki,7,Debit Card,1,2.0,301583.0,316,610410.74,True
CUST000084,32.0,25-34,Laki-laki,23,Debit Card,1,8.0,179601.95,11,891101.96,False
CUST000085,25.0,25-34,Laki-laki,41,Credit Card,1,3.0,167471.23,20,752441.17,True
CUST000086,31.0,25-34,Perempuan,40,Credit Card,0,4.0,171851.77,279,758169.56,False
CUST000087,40.0,35-44,Perempuan,29,Credit Card,1,2.0,189373.91,333,655058.5,True
CUST000088,57.0,55-64,Laki-laki,16,Debit Card,1,9.0,179770.43,35,894303.12,False
CUST000089,38.0,35-44,Perempuan,38,PayPal,3,6.0,227450.87,266,860775.18,False
CUST000090,33.0,25-34,Perempuan,28,Credit Card,5,9.0,104121.95,232,784789.74,True
CUST000091,62.0,55-64,Laki-laki,48,Debit Card,7,8.0,329719.52,38,956978.47,True
CUST000092,35.0,35-44,Laki-laki,38,PayPal,5,9.0,320958.45,83,997751.15,True
CUST000093,64.0,55-64,Perempuan,31,Debit Card,0,5.0,320453.0,32,864987.23,False
CUST000094,41.0,35-44,Laki-laki,14,Credit Card,3,6.0,306468.99,54,728516.71,False
CUST000095,43.0,35-44,Perempuan,53,Debit Card,4,7.0,251038.37,225,958326.33,False
CUST000096,42.0,35-44,Perempuan,33,Debit Card,1,5.0,140177.13,313,781925.54,True
CUST000097,62.0,55-64,Laki-laki,57,Debit Card,1,1.0,96708.74,107,692966.98,True
CUST000098,58.0,55-64,Perempuan,9,Debit Card,4,9.0,109344.9,25,715206.62,False
CUST000099,46.0,45-54,Perempuan,57,PayPal,1,2.0,166123.38,45,788664.83,True
CUST000100,32.0,25-34,Laki-laki,27,Credit Card,0,7.0,211613.55,118,861112.14,False
CUST000101,62.0,55-64,Laki-laki,24,PayPal,1,8.0,335279.43,294,949396.78,False
CUST000102,18.0,15-24,Laki-laki,13,Debit Card,2,8.0,194259.89,125,822529.74,False
CUST000103,42.0,35-44,Perempuan,26,Debit Card,0,1.0,216836.5,36,591035.3,True
CUST000104,24.0,15-24,Laki-laki,29,Credit Card,3,10.0,259967.92,344,989327.04,True
CUST000105,26.0,25-34,Laki-laki,51,Credit Card,2,7.0,129899.72,167,910645.89,False
CUST000106,41.0,35-44,Laki-laki,49,PayPal,5,9.0,319947.56,269,1019485.34,True
CUST000107,18.0,15-24,Laki-laki,43,PayPal,3,3.0,218015.87,194,737614.74,True
CUST000108,61.0,55-64,Perempuan,28,Credit Card,3,8.0,153992.66,124,818823.13,False
CUST000109,25.0,25-34,Perempuan,28,PayPal,1,8.0,320621.48,271,935749.72,False
CUST000110,41.0,35-44,Laki-laki,8,Debit Card,2,9.0,242277.3,58,807197.86,False
CUST000111,28.0,25-34,Perempuan,23,Debit Card,4,8.0,206559.09,59,833312.59,False
CUST000112,68.0,65-74,Laki-laki,29,Credit Card,2,5.0,230820.51,308,762887.06,True
CUST000113,34.0,25-34,Laki-laki,5,PayPal,1,5.0,273278.01,217,698863.86,False
CUST000114,25.0,25-34,Perempuan,42,Debit Card,2,3.0,123328.92,69,688586.45,True
CUST000115,52.0,45-54,Perempuan,7,Credit Card,5,6.0,302762.38,244,655732.43,True
CUST000116,52.0,45-54,Laki-laki,42,PayPal,3,,326686.84,103,1084182.48,False
CUST000117,50.0,45-54,Laki-laki,36,Debit Card,1,,227450.87,5,744354.03,True
CUST000118,22.0,15-24,Perempuan,41,PayPal,4,2.0,256598.28,299,671906.72,True
CUST000119,59.0,55-64,Laki-laki,27,PayPal,0,7.0,301583.0,264,924124.46,False
CUST000120,56.0,55-64,Perempuan,58,PayPal,2,10.0,178928.02,241,1084182.48,False
CUST000121,58.0,55-64,Laki-laki,46,Credit Card,2,3.0,335110.95,334,840894.29,True
CUST000122,45.0,45-54,Laki-laki,2,Debit Card,2,4.0,256261.31,349,625068.68,True
CUST000123,24.0,15-24,Perempuan,25,Credit Card,5,10.0,191395.69,222,891944.37,True
CUST000124,26.0,25-34,Perempuan,9,Debit Card,1,8.0,255418.9,319,820676.43,True
CUST000125,25.0,25-34,Perempuan,53,Debit Card,1,1.0,216162.57,229,735761.44,True
CUST000126,29.0,25-34,Perempuan,27,Credit Card,1,9.0,112377.58,32,914857.94,False
CUST000127,51.0,45-54,Perempuan,1,Credit Card,1,6.0,285408.72,353,738794.12,True
CUST000128,,,Perempuan,23,Debit Card,2,2.0,226945.42,24,644107.17,True
CUST000129,65.0,65-74,Perempuan,10,Debit Card,3,3.0,285408.72,306,582779.67,True
CUST000130,40.0,35-44,Laki-laki,42,Debit Card,3,5.0,123328.92,187,746207.33,False
CUST000131,41.0,35-44,Laki-laki,52,PayPal,2,,220374.62,128,924461.42,False
CUST000132,54.0,45-54,Laki-laki,25,Debit Card,1,9.0,277995.51,112,968098.29,False
CUST000133,52.0,45-54,Perempuan,54,Credit Card,1,2.0,333931.57,294,838535.54,True
CUST000134,61.0,55-64,Perempuan,3,Credit Card,4,,307816.84,149,629280.74,False
CUST000135,57.0,55-64,Perempuan,6,Credit Card,2,7.0,302762.38,151,794393.22,False
CUST000136,39.0,35-44,Laki-laki,58,Debit Card,1,7.0,146747.93,174,976522.4,False
CUST000137,,,Perempuan,6,Debit Card,1,4.0,296023.09,197,643096.27,False
CUST000138,52.0,45-54,Perempuan,53,PayPal,5,3.0,127035.52,255,675107.88,True
CUST000139,18.0,15-24,Laki-laki,2,PayPal,1,8.0,134280.25,168,735087.51,False
CUST000140,,,Perempuan,58,Credit Card,2,2.0,112040.61,82,780577.69,True
CUST000141,54.0,45-54,Laki-laki,58,PayPal,4,5.0,300909.08,70,893797.67,False
CUST000142,64.0,55-64,Laki-laki,18,PayPal,2,10.0,111535.17,325,859258.84,True
CUST000143,31.0,25-34,Perempuan,23,Credit Card,2,5.0,119116.86,13,723462.25,False
CUST000144,20.0,15-24,Perempuan,2,Debit Card,1,1.0,146410.97,119,434009.95,True
CUST000145,18.0,15-24,Perempuan,12,PayPal,1,7.0,228967.21,212,794393.22,False
CUST000146,22.0,15-24,Laki-laki,22,Debit Card,1,4.0,306637.47,102,781420.1,False
CUST000147,,,Laki-laki,37,Credit Card,2,10.0,189879.36,277,983598.65,False
CUST000148,31.0,25-34,Laki-laki,20,Credit Card,2,2.0,222227.92,196,587834.14,True
CUST000149,56.0,55-64,Perempuan,39,PayPal,0,8.0,126361.59,77,926146.24,False
CUST000150,,,Perempuan,24,Credit Card,3,4.0,151465.43,338,616307.61,True
CUST000151,26.0,25-34,Perempuan,48,Credit Card,3,1.0,118105.97,333,646465.91,True
CUST000152,32.0,25-34,Perempuan,20,Credit Card,1,8.0,187857.57,205,838872.5,False
CUST000153,32.0,25-34,Laki-laki,1,PayPal,3,7.0,233516.23,229,678140.55,False
CUST000154,43.0,35-44,Laki-laki,1,PayPal,4,3.0,156014.45,189,458102.9,True
CUST000155,59.0,55-64,Laki-laki,17,PayPal,4,3.0,298044.88,99,632987.34,True
CUST000156,30.0,25-34,Laki-laki,59,Credit Card,2,7.0,332246.75,218,1057562.3,False
CUST000157,,,Perempuan,1,Debit Card,1,2.0,114567.85,194,450015.76,True
CUST000158,49.0,45-54,Perempuan,53,Credit Card,0,5.0,88790.08,43,866672.05,False
CUST000159,56.0,55-64,Perempuan,52,PayPal,3,7.0,283892.38,124,989664.0,False
CUST000160,66.0,65-74,Laki-laki,45,Debit Card,2,6.0,132426.95,20,842579.11,False
CUST000161,69.0,65-74,Laki-laki,30,Debit Card,0,10.0,173536.59,311,992696.68,True
CUST000162,49.0,45-54,Perempuan,41,PayPal,5,7.0,183814.0,330,846959.64,True
CUST000163,21.0,15-24,Perempuan,47,Debit Card,4,2.0,315903.98,328,732897.25,True
CUST000164,47.0,45-54,Laki-laki,3,Debit Card,1,7.0,250701.4,168,779229.83,False
CUST000165,54.0,45-54,Perempuan,46,PayPal,4,2.0,94518.47,46,607378.06,True
CUST000166,40.0,35-44,Laki-laki,55,Debit Card,3,7.0,87947.67,223,879982.14,False
CUST000167,56.0,55-64,Laki-laki,11,Debit Card,4,8.0,134617.22,79,700717.16,False
CUST000168,62.0,55-64,Laki-laki,24,PayPal,3,10.0,164607.04,170,897167.32,False
CUST000169,32.0,25-34,Perempuan,22,Debit Card,1,8.0,206727.57,246,868356.87,False
CUST000170,60.0,55-64,Perempuan,44,Debit Card,3,5.0,296023.09,271,834997.41,False
CUST000171,46.0,45-54,Laki-laki,45,Debit Card,2,7.0,163764.63,99,902390.26,False
CUST000172,53.0,45-54,Perempuan,26,Debit Card,2,8.0,179433.46,322,864144.82,True
CUST000173,30.0,25-34,Laki-laki,13,PayPal,2,4.0,167471.23,141,589687.44,False
CUST000174,49.0,45-54,Laki-laki,1,Credit Card,1,2.0,86431.33,109,440412.28,True
CUST000175,,,Laki-laki,24,Credit Card,5,7.0,325675.95,313,824383.04,True
CUST000176,68.0,65-74,Laki-laki,10,Debit Card,4,1.0,119285.34,137,390036.12,True
CUST000177,39.0,35-44,Perempuan,35,PayPal,1,2.0,157025.34,121,651014.93,True
CUST000178,45.0,45-54,Laki-laki,24,PayPal,3,10.0,116926.59,99,895650.98,False
CUST000179,19.0,15-24,Laki-laki,28,Debit Card,3,7.0,208243.91,66,847128.13,False
CUST000180,59.0,55-64,Perempuan,36,Credit Card,4,10.0,319779.07,144,1026561.59,False
CUST000181,62.0,55-64,Laki-laki,16,Debit Card,1,1.0,109681.86,110,491799.32,True
CUST000182,23.0,15-24,Laki-laki,40,PayPal,1,7.0,195607.75,130,903064.19,False
CUST000183,45.0,45-54,Perempuan,16,PayPal,2,5.0,89969.45,328,648319.22,True
CUST000184,45.0,45-54,Perempuan,59,Credit Card,1,3.0,279006.4,257,899863.03,True
CUST000185,61.0,55-64,Perempuan,17,PayPal,1,2.0,246320.87,210,590529.85,True
CUST000186,61.0,55-64,Laki-laki,51,PayPal,0,7.0,261147.29,246,1035491.14,False
CUST000187,37.0,35-44,Perempuan,54,PayPal,2,9.0,203694.89,361,1040208.64,True
CUST000188,47.0,45-54,Perempuan,15,Credit Card,2,9.0,313545.24,154,893797.67,False
CUST000189,,,Laki-laki,16,PayPal,1,10.0,187689.09,133,910140.44,False
CUST000190,45.0,45-54,Laki-laki,15,Debit Card,1,10.0,214140.78,21,937603.03,False
CUST000191,42.0,35-44,Laki-laki,57,Credit Card,3,8.0,259967.92,35,1036502.03,False
CUST000192,56.0,55-64,Laki-laki,34,Debit Card,2,2.0,215825.6,360,665335.91,True
CUST000193,,,Laki-laki,11,Debit Card,1,1.0,132089.99,310,486407.9,True
CUST000194,18.0,15-24,Perempuan,1,Credit Card,1,8.0,164438.55,224,748903.05,False
CUST000195,44.0,35-44,Perempuan,15,Debit Card,1,2.0,107491.6,124,528696.91,True
CUST000196,,,Perempuan,26,Credit Card,2,4.0,193585.96,240,703918.32,False
CUST000197,30.0,25-34,Laki-laki,51,Debit Card,4,4.0,238233.73,364,790349.65,True
CUST000198,58.0,55-64,Laki-laki,4,Credit Card,1,2.0,114230.88,300,489272.09,True
CUST000199,20.0,15-24,Laki-laki,43,PayPal,0,4.0,243625.15,341,859090.36,True
CUST000200,56.0,55-64,Perempuan,5,PayPal,1,7.0,309838.63,4,803491.26,False
CUST000201,,,Perempuan,35,Debit Card,2,,169661.5,123,823709.11,False
CUST000202,25.0,25-34,Laki-laki,13,PayPal,0,10.0,140345.61,42,901884.82,False
CUST000203,44.0,35-44,Perempuan,10,Credit Card,3,6.0,310007.11,169,754294.47,False
CUST000204,26.0,25-34,Laki-laki,11,Debit Card,1,4.0,259125.51,280,632144.93,False
CUST000205,,,Perempuan,18,PayPal,1,2.0,110861.24,225,561719.41,True
CUST000206,50.0,45-54,Perempuan,34,PayPal,7,5.0,187352.12,185,704929.21,True
CUST000207,68.0,65-74,Perempuan,39,Debit Card,1,3.0,254576.49,323,756990.19,True
CUST000208,59.0,55-64,Laki-laki,41,PayPal,1,3.0,229472.65,11,752778.14,True
CUST000209,61.0,55-64,Perempuan,42,PayPal,0,4.0,240592.47,173,859764.29,False
CUST000210,41.0,35-44,Perempuan,50,Debit Card,5,5.0,227619.35,96,797425.9,True
CUST000211,32.0,25-34,Laki-laki,23,PayPal,1,2.0,285914.17,278,648993.15,True
CUST000212,49.0,45-54,Perempuan,7,PayPal,2,6.0,165280.96,139,670053.41,False
CUST000213,49.0,45-54,Laki-laki,59,PayPal,0,6.0,263337.56,166,1006175.25,False
CUST000214,41.0,35-44,Laki-laki,39,PayPal,2,8.0,334773.98,187,1012746.06,False
CUST000215,58.0,55-64,Laki-laki,3,Debit Card,2,2.0,182803.11,86,473940.22,True
CUST000216,69.0,65-74,Laki-laki,12,Credit Card,4,8.0,284229.35,231,801974.92,False
CUST000217,66.0,65-74,Laki-laki,7,Credit Card,2,8.0,146410.97,138,746881.26,False
CUST000218,66.0,65-74,Perempuan,49,PayPal,2,4.0,155509.0,19,818486.16,False
CUST000219,69.0,65-74,Laki-laki,26,PayPal,2,7.0,320453.0,338,902727.23,True
CUST000220,29.0,25-34,Laki-laki,33,Credit Card,0,,90811.87,156,835165.9,False
CUST000221,56.0,55-64,Laki-laki,37,PayPal,5,,139166.24,95,513365.04,True
CUST000222,19.0,15-24,Laki-laki,48,Credit Card,1,1.0,206222.12,17,718744.75,True
CUST000223,20.0,15-24,Perempuan,15,Debit Card,6,8.0,185835.78,280,710320.64,True
CUST000224,66.0,65-74,Laki-laki,2,Debit Card,3,1.0,243288.19,261,444455.85,True
CUST000225,54.0,45-54,Perempuan,41,Debit Card,3,3.0,132932.4,160,658596.63,True
CUST000226,66.0,65-74,Laki-laki,7,Debit Card,2,6.0,102100.17,309,647139.84,True
CUST000227,34.0,25-34,Perempuan,32,Debit Card,1,8.0,177580.16,81,893292.23,False
CUST000228,66.0,65-74,Laki-laki,4,Debit Card,5,5.0,216836.5,185,574524.05,True
CUST000229,19.0,15-24,Laki-laki,20,Credit Card,0,5.0,226271.49,213,761539.21,False
CUST000230,19.0,15-24,Perempuan,50,PayPal,2,4.0,236211.94,342,838872.5,True
CUST000231,45.0,45-54,Laki-laki,53,Credit Card,3,4.0,222901.85,359,835334.38,True
CUST000232,40.0,35-44,Perempuan,36,Debit Card,1,7.0,146410.97,167,862628.48,False
CUST000233,54.0,45-54,Laki-laki,32,PayPal,2,6.0,277490.06,206,837187.68,False
CUST000234,49.0,45-54,Perempuan,28,PayPal,1,8.0,106480.7,336,817138.31,True
CUST000235,,,Laki-laki,13,Debit Card,2,6.0,134448.74,261,683868.95,False
CUST000236,18.0,15-24,Laki-laki,1,Debit Card,1,10.0,271087.74,274,875938.57,False
CUST000237,,,Perempuan,56,Debit Card,1,7.0,155003.56,236,960179.63,False
CUST000238,19.0,15-24,Laki-laki,35,Debit Card,4,10.0,208917.84,243,959674.19,False
CUST000239,,,Laki-laki,48,Debit Card,3,10.0,166965.79,220,1038018.37,False
CUST000240,43.0,35-44,Laki-laki,30,Debit Card,3,5.0,212287.48,347,763392.51,True
CUST000241,,,Laki-laki,54,PayPal,1,6.0,171851.77,70,902390.26,False
CUST000242,,,Laki-laki,36,Debit Card,1,1.0,335447.91,213,702401.98,True
CUST000243,49.0,45-54,Laki-laki,57,Debit Card,3,,174547.48,337,794224.74,True
CUST000244,21.0,15-24,Perempuan,55,PayPal,5,8.0,242782.74,287,999099.0,True
CUST000245,28.0,25-34,Perempuan,25,Credit Card,1,3.0,308827.74,226,710152.16,True
CUST000246,34.0,25-34,Perempuan,16,Debit Card,5,1.0,245478.46,269,504772.45,True
CUST000247,55.0,55-64,Laki-laki,58,PayPal,1,3.0,227282.39,279,827078.75,True
CUST000248,41.0,35-44,Perempuan,19,PayPal,2,4.0,228124.8,249,694483.32,False
CUST000249,22.0,15-24,Laki-laki,1,Credit Card,2,8.0,209760.25,321,738625.64,True
CUST000250,69.0,65-74,Laki-laki,5,Debit Card,1,9.0,288272.92,196,891607.41,False
CUST000251,51.0,45-54,Laki-laki,51,Debit Card,2,4.0,97045.7,30,763560.99,False
CUST000252,23.0,15-24,Laki-laki,22,Debit Card,2,7.0,307985.33,303,851340.18,True
CUST000253,39.0,35-44,Perempuan,24,PayPal,2,1.0,232336.85,131,573850.12,True
CUST000254,28.0,25-34,Laki-laki,43,Debit Card,2,9.0,298718.81,12,1016452.66,False
CUST000255,65.0,65-74,Perempuan,45,Debit Card,3,4.0,86936.78,16,686059.21,False
CUST000256,33.0,25-34,Laki-laki,52,Debit Card,0,9.0,303941.75,117,1139444.61,False
CUST000257,50.0,45-54,Perempuan,37,Debit Card,4,3.0,114567.85,149,643433.24,True
CUST000258,26.0,25-34,Perempuan,53,Credit Card,1,5.0,266538.72,109,938782.4,False
CUST000259,23.0,15-24,Perempuan,36,Credit Card,0,1.0,189542.39,236,634672.17,True
CUST000260,33.0,25-34,Perempuan,36,Credit Card,1,3.0,256429.79,314,761370.72,True
CUST000261,,,Perempuan,4,Debit Card,0,5.0,242951.22,5,672580.64,False
CUST000262,,,Perempuan,36,Debit Card,1,6.0,125519.18,180,821013.4,False
CUST000263,37.0,35-44,Laki-laki,52,PayPal,1,8.0,214309.26,337,1042735.87,True
CUST000264,53.0,45-54,Perempuan,53,PayPal,2,1.0,154329.63,1,689934.3,True
CUST000265,36.0,35-44,Laki-laki,18,PayPal,2,3.0,225934.53,8,651520.38,True
CUST000266,43.0,35-44,Perempuan,50,Debit Card,0,,270750.78,144,764740.37,True
CUST000267,20.0,15-24,Laki-laki,16,Credit Card,2,5.0,104795.88,143,636693.95,False
CUST000268,36.0,35-44,Perempuan,41,Credit Card,2,8.0,214646.23,275,949228.29,False
CUST000269,37.0,35-44,Perempuan,18,Credit Card,3,4.0,240255.51,153,633324.31,False
CUST000270,49.0,45-54,Laki-laki,22,Debit Card,5,9.0,158878.64,287,798773.76,True
CUST000271,24.0,15-24,Perempuan,2,Credit Card,2,6.0,325170.5,130,716554.48,False
CUST000272,69.0,65-74,Perempuan,21,PayPal,1,6.0,215657.12,121,778724.38,False
CUST000273,58.0,55-64,Perempuan,36,PayPal,2,5.0,130405.16,59,758843.49,False
CUST000274,50.0,45-54,Laki-laki,44,Credit Card,0,10.0,111535.17,217,1011398.2,False
CUST000275,57.0,55-64,Perempuan,39,PayPal,5,5.0,221048.55,31,734750.55,True
CUST000276,56.0,55-64,Laki-laki,47,Credit Card,1,7.0,179096.5,244,957820.88,False
CUST000277,35.0,35-44,Perempuan,39,Credit Card,1,8.0,132932.4,140,883520.27,False
CUST000278,57.0,55-64,Perempuan,29,PayPal,1,7.0,91991.24,213,814611.08,False
CUST000279,18.0,15-24,Laki-laki,54,PayPal,2,1.0,227450.87,29,719081.71,True
CUST000280,28.0,25-34,Perempuan,26,PayPal,1,1.0,235538.01,164,610747.7,True
CUST000281,45.0,45-54,Perempuan,21,PayPal,3,10.0,120127.76,104,889922.59,False
CUST000282,42.0,35-44,Laki-laki,17,Credit Card,4,6.0,236380.42,63,710657.6,False
CUST000283,67.0,65-74,Perempuan,16,PayPal,2,3.0,324833.54,15,676792.7,True
CUST000284,,,Laki-laki,31,PayPal,2,9.0,331404.34,286,998930.52,False
CUST000285,48.0,45-54,Laki-laki,51,Debit Card,2,7.0,308827.74,179,1001794.72,False
CUST000286,47.0,45-54,Laki-laki,9,PayPal,2,2.0,288272.92,11,566436.91,True
CUST000287,59.0,55-64,Perempuan,31,PayPal,1,3.0,137144.45,13,680162.34,True
CUST000288,52.0,45-54,Laki-laki,14,Credit Card,2,8.0,123834.36,215,753789.03,False
CUST000289,24.0,15-24,Laki-laki,49,Credit Card,2,1.0,196618.64,311,665504.39,True
CUST000290,33.0,25-34,Perempuan,37,Debit Card,2,5.0,240760.96,226,815790.45,False
CUST000291,43.0,35-44,Laki-laki,2,PayPal,5,10.0,299224.25,63,820002.5,True
